gene,tumor_r,normal_r,delta_r
ACP5,0.6894,0.427,0.2624
GSDMB,0.3173,0.0554,0.2619
FRA10AC1,0.548,0.2866,0.2614
ZNF580,0.2332,-0.028,0.2612
KAT2B,0.3399,0.0788,0.2611
LOXL3,0.4977,0.2373,0.26039999999999996
FAM117B,0.392,0.1317,0.2603
SMAD4,0.4263,0.1662,0.2601
KLHL24,-0.0366,-0.2967,0.2601
NPL,0.7599,0.5004,0.25950000000000006
PRDM15,0.1258,-0.1337,0.2595
TLK1,0.399,0.1397,0.25930000000000003
WIPF2,0.4601,0.2008,0.2593
THNSL1,0.546,0.2871,0.2589
SNX16,0.3052,0.0463,0.2589
PGM2,0.1708,-0.0881,0.2589
OTUB2,0.5598,0.3014,0.25839999999999996
BIRC2,0.2064,-0.0519,0.2583
CBY1,0.3176,0.0594,0.2582
ATIC,0.5324,0.2743,0.2581
SENP6,0.2514,-0.0065,0.2579
EVC2,0.0093,-0.2484,0.2577
PLCG1,0.5941,0.3368,0.2573
ATP5IF1,0.6462,0.3895,0.2567
ESYT2,0.4225,0.1659,0.2566
EML2,0.4849,0.2283,0.2566
PHF2,0.1622,-0.0942,0.2564
NDUFV2,-0.0116,-0.2679,0.25630000000000003
CEP290,0.2602,0.004,0.2562
STAM,0.283,0.0269,0.2561
SUDS3,0.1083,-0.1475,0.25579999999999997
LDHD,0.822,0.5668,0.2552
ARMC6,0.5509,0.2964,0.25449999999999995
FDX1,0.2308,-0.0232,0.254
TBC1D20,0.4435,0.1897,0.2538
MRTFB,0.5282,0.2746,0.2536
C17orf49,0.2361,-0.0175,0.2536
PPT1,0.4173,0.1638,0.2535
HMGN1,0.3278,0.0745,0.25329999999999997
SARNP,0.1033,-0.15,0.25329999999999997
PCIF1,0.2942,0.041,0.25320000000000004
GLRX,0.6746,0.4217,0.25289999999999996
CCDC88B,0.6415,0.3887,0.25279999999999997
EEF1AKMT2,0.4069,0.1542,0.2527
PARG,0.525,0.2726,0.2524
SCLY,-0.0525,-0.3047,0.25220000000000004
RBX1,0.1253,-0.1266,0.2519
LACC1,0.2848,0.033,0.2518
TRPV2,0.5223,0.271,0.25129999999999997
MOCOS,0.5731,0.3219,0.25120000000000003
FOXK1,0.4923,0.2414,0.2509
GAB1,0.582,0.3313,0.2507
TANC1,0.4774,0.2268,0.2506
OSTM1,0.3004,0.0498,0.2506
CLIC1,0.5835,0.3331,0.2504
TBC1D12,0.2461,-0.0035,0.24960000000000002
TANGO2,0.1141,-0.1355,0.2496
RNF168,0.3825,0.1333,0.2492
GMPR2,0.2804,0.0312,0.24919999999999998
HNF4G,-0.1418,-0.3909,0.24910000000000002
CES2,0.4543,0.2052,0.2491
NIPSNAP3A,0.2105,-0.0385,0.249
SELENOO,0.4673,0.2183,0.249
STK38,0.5262,0.2777,0.2485
INPP5F,0.7456,0.4972,0.24840000000000007
UBL5,0.1303,-0.1179,0.2482
FIGNL1,0.1916,-0.0565,0.2481
CBL,0.5488,0.3009,0.24789999999999995
HERC6,0.6363,0.3884,0.24789999999999995
NRBP2,0.5723,0.325,0.24730000000000002
R3HDM4,0.2432,-0.0041,0.2473
RINT1,0.1984,-0.0489,0.2473
MLH3,0.2348,-0.0124,0.2472
