gene,tumor_r,normal_r,delta_r
TRHDE,-0.0014,-0.1427,0.14129999999999998
ZNF830,0.2269,0.086,0.1409
PSMA4,0.2152,0.0746,0.1406
RUNX1,0.3372,0.1966,0.1406
RAMAC,-0.021,-0.1614,0.1404
ALDOA,0.0317,-0.1087,0.1404
IGDCC4,0.3312,0.1909,0.1403
APOD,0.4195,0.2803,0.1392
AL022312.1,0.174,0.0348,0.1392
CTR9,0.1502,0.011,0.1392
DENR,0.3466,0.2075,0.13910000000000003
CEP152,0.265,0.1259,0.1391
HDAC1,0.1221,-0.017,0.1391
PDZD11,0.0594,-0.0797,0.1391
LAG3,0.4118,0.2727,0.1391
POLE2,0.2604,0.1214,0.139
CCDC28A,0.2307,0.0918,0.13889999999999997
VMAC,0.0759,-0.0627,0.1386
B3GNT2,0.5716,0.4331,0.1385
FBXL3,0.0512,-0.0872,0.1384
FAM32A,-0.0076,-0.1457,0.1381
EPS15,0.4255,0.2874,0.1381
HAUS8,0.4121,0.2742,0.13790000000000002
TPRKB,-0.1028,-0.2407,0.1379
GRAMD1B,0.2706,0.1329,0.13770000000000002
PSMD14,0.0524,-0.0853,0.1377
ZNF189,0.3824,0.2448,0.13760000000000003
PAOX,0.2189,0.0813,0.1376
NSRP1,0.3782,0.2406,0.13759999999999997
ASPM,0.1704,0.033,0.1374
BLOC1S2,0.1511,0.0139,0.13720000000000002
RAD23B,0.5031,0.3659,0.1372
FAM214B,0.2735,0.1364,0.13710000000000003
SH3RF2,0.5182,0.3811,0.1371
GLRX3,0.5381,0.401,0.1371
KCNQ1,0.4902,0.3536,0.1366
ROCK1,0.5165,0.3802,0.13629999999999998
RAPGEF4,0.2776,0.1416,0.136
RPLP0,0.0607,-0.0753,0.136
KLHL13,0.4185,0.2826,0.13589999999999997
LASP1,0.1313,-0.0044,0.1357
PTPRJ,0.4124,0.2767,0.1357
ALG1,0.2247,0.0891,0.1356
CAPN6,0.417,0.2814,0.1356
PIK3R6,0.091,-0.0443,0.1353
EARS2,0.355,0.2199,0.13509999999999997
ZNF827,0.2544,0.1195,0.13490000000000002
WDR61,0.0507,-0.0841,0.1348
NUP35,0.3519,0.2172,0.1347
DDX42,0.3091,0.1744,0.1347
CCDC130,0.0563,-0.0783,0.1346
C9orf78,0.3383,0.2039,0.1344
ARL8A,0.3092,0.1749,0.13429999999999997
CACNA2D2,0.3465,0.2122,0.13429999999999997
CASP9,0.501,0.3669,0.1341
LCP1,0.7295,0.5954,0.1341
PPT1,0.3747,0.2406,0.13409999999999997
ARMC7,0.1011,-0.0329,0.134
ZNF408,0.1266,-0.0074,0.13399999999999998
CA6,-0.0279,-0.1619,0.13399999999999998
HSPA13,0.4564,0.3224,0.13399999999999995
LSM14A,0.4124,0.2786,0.13379999999999997
POLR2D,0.208,0.0743,0.13369999999999999
